STOP_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,LOCATION_IN_OUT_CODE,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
1,2023-01-01,00:44:00,2023,January,Sunday,Based on Radio Run,APP,POM,804,SGT,804,1,I,1,MENACING,10,1,0,0,0,1,1,0,0,0,0,0,1,YELLING AND KNOCKING ON THE DOOR,32.0,MALE,BLACK,6.1,150.0,THN,BRO,BLK,5,A,46 MADISON ST,MADISON ST,984781.0,198509.0,PBMS,MANHATTAN
2,2023-01-01,00:49:00,2023,January,Sunday,Based on Self Initiated,APP,POM,69,SGT,69,1,O,1,CPW,3,0,0,1,0,1,1,1,0,0,0,1,1,VILIGANT,23.0,MALE,WHITE HISPANIC,5.7,150.0,MED,BRO,BLK,69,B,9910 SEAVIEW AVE,SEAVIEW AVE,1015557.0,170379.0,PBBS,BROOKLYN
3,2023-01-01,05:31:00,2023,January,Sunday,Based on Radio Run,APP,POM,83,SGT,83,1,O,1,CPW,5,1,0,0,0,1,1,0,0,0,0,0,1,UPSET,30.0,MALE,WHITE HISPANIC,6.0,165.72,HEA,BRO,BLK,83,D,TROUTMAN ST && ST NICHOLAS AVE,TROUTMAN ST,1005940.0,197103.0,PBBN,BROOKLYN
4,2023-01-01,04:59:00,2023,January,Sunday,Based on Self Initiated,APP,POM,113,SGT,113,1,O,1,CPW,2,1,0,0,0,1,1,1,0,1,0,0,1,CALM,20.0,MALE,BLACK,6.0,275.0,HEA,BRO,BLK,113,B,FARMERS BLVD && 135 AVE,FARMERS BLVD,1049830.0,185439.0,PBQS,QUEENS
5,2023-01-01,05:21:00,2023,January,Sunday,Based on Self Initiated,APP,POF,46,SGT,46,0,O,2,CPW,14,0,0,1,0,1,1,1,0,0,0,1,1,EVASIVE,25.0,MALE,BLACK HISPANIC,6.0,190.0,MED,BRO,BRO,46,B,2463 WEBSTER AVE,WEBSTER AVE,1013821.0,252710.0,PBBX,BRONX
6,2023-01-01,18:00:00,2023,January,Sunday,Based on Radio Run,APP,POF,181,SGT,181,1,O,1,ASSAULT,19,1,0,0,0,1,1,1,0,0,0,0,1,CALM,14.0,MALE,WHITE HISPANIC,6.1,145.0,MED,BRO,BLK,6,C,329 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,983845.0,205719.0,PBMS,MANHATTAN
7,2023-01-01,00:00:00,2023,January,Sunday,Based on Self Initiated,APP,POM,182,SGT,182,1,O,1,CPW,1,1,0,0,0,1,1,1,0,0,0,0,1,UPSET,26.0,MALE,BLACK,5.4,170.0,THN,BLK,BRO,23,B,E 110 ST && LEXINGTON AVE,E 110 ST,999643.0,228852.0,PBMN,MANHATTAN
8,2023-01-02,00:00:00,2023,January,Monday,Based on Radio Run,APP,POM,25,SGT,25,1,O,0,MENACING,5,1,0,0,0,1,0,0,1,1,0,0,1,CALM,41.0,MALE,BLACK,5.9,148.0,THN,BRO,BLK,25,B,1862 LEXINGTON AVE,LEXINGTON AVE,1000287.0,230097.0,PBMN,MANHATTAN
9,2023-01-02,04:05:00,2023,January,Monday,Based on Radio Run,APP,POM,68,SGT,68,1,O,0,GRAND LARCENY AUTO,25,1,0,0,0,1,1,1,1,1,0,0,1,CALM,27.75,MALE,WHITE HISPANIC,5.64,180.0,THN,BRO,BLK,68,C,25 79 ST,79 ST,973794.0,169193.0,PBBS,BROOKLYN
10,2023-01-01,19:04:00,2023,January,Sunday,Based on Radio Run,APP,POM,20,SGT,20,1,O,1,CPW,10,1,0,1,0,1,1,1,0,0,0,1,1,CALM,65.0,MALE,BLACK,5.1,200.0,MED,ZZZ,BLD,20,A,BROADWAY && W 66 ST,BROADWAY,989173.0,221221.0,PBMN,MANHATTAN
11,2023-01-01,15:54:00,2023,January,Sunday,Based on Self Initiated,APP,POF,864,SGT,864,1,S,1,ROBBERY,13,1,0,1,0,1,1,0,1,1,0,1,1,APPARENTLY NORMAL,29.0,MALE,BLACK,6.2,200.0,THN,BRO,BLK,46,A,E 176 ST && JEROME AVE,E 176 ST,1008653.0,248413.0,PBBX,BRONX
12,2023-01-01,03:54:00,2023,January,Sunday,Based on Self Initiated,APP,DTS,46,SSA,46,1,O,1,CPW,1,1,0,0,0,1,1,0,0,0,0,0,1,AGGRESSIVE,27.75,MALE,WHITE HISPANIC,5.9,140.0,THN,BRO,BRO,46,A,1841 CARTER AVE,CARTER AVE,1011272.0,247807.0,PBBX,BRONX
13,2023-01-01,20:10:00,2023,January,Sunday,Based on Self Initiated,APP,POM,802,SGT,802,0,O,1,CPW,10,1,0,1,0,1,1,1,1,1,0,0,1,CALM,27.0,MALE,BLACK,5.11,200.0,MED,BRO,BLK,77,C,TROY AVE && ATLANTIC AVE,TROY AVE,1002041.0,186193.0,PBBN,BROOKLYN
14,2023-01-01,20:41:00,2023,January,Sunday,Based on C/W on Scene,APP,POM,44,SGT,44,1,I,1,ROBBERY,10,1,0,1,0,1,1,0,0,0,0,0,1,UPSET,26.0,MALE,BLACK,5.11,190.0,MED,BRO,BLK,44,C,185 MCCLELLAN ST,MCCLELLAN ST,1006971.0,242703.0,PBBX,BRONX
